Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend
INDY,Energi & Tambang,3880,10.3,STRONG_BUY,B+,EMA+HMA** | MACD+OBV** | RSI61* | Stoch76UP | BB+Sup* | Vol+OBV*,91,60.5,14.6,75.7,UP,86,9.9,ABOVE,BREAKOUT,BEARISH_DIV,BULLISH,24.1,3170,3880,3604,4340,4685,5030,7.1,11.9,1.68,3623,14057240,1000000,RANGING,Bull,Bull
ALII,Pantauan,1030,9.6,STRONG_BUY,B+,EMA+HMA** | ADX26 | MACD+OBV** | RSI71 | BB+Sup* | Vol+OBV*,87,71.0,26.3,85.7,UP,100,4.1,ABOVE,BREAKOUT,NONE,BULLISH,46.1,670,1030,937,1185,1301,1417,9.0,15.0,1.67,10752,11074560,1000000,RANGING,Bull,Bull
MEDC,Energi & Tambang,1800,9.3,STRONG_BUY,B,EMA+HMA** | MACD+OBV** | RSI59* | BB+Sup* | Vol+OBV* | W+M**,85,59.2,11.9,100.0,UP,100,3.5,ABOVE,BREAKOUT,NONE,BULLISH,24.0,1550,1930,1700,1966,2091,2216,5.6,9.2,1.64,10000,18000000,1000000,RANGING,Bull,Bull
BUKA,Teknologi & Telco,164,9.0,STRONG_BUY,B,EMA* | ADX36X | MACD+OBV** | RSI62* | BB+Sup* | Vol+OBV*,80,61.7,36.4,54.5,UP,100,0.5,BELOW,CONTINUATION,NONE,BULLISH,33.5,139,175,155,179,190,201,5.5,9.1,1.65,111111,18222204,1000000,RANGING,Bull,Bull
CFIN,Perbankan,346,9.0,STRONG_BUY,B,EMA+HMA** | ADX26 | MACD+OBV** | RSI60* | BB+Sup* | Vol UP,75,60.5,26.2,56.2,UP,100,0.3,ABOVE,CONTINUATION,NONE,BULLISH,8.5,328,352,336,363,376,389,2.9,4.9,1.69,100000,34600000,1000000,RANGING,Bull,Bull
BNGA,Perbankan,1890,8.2,STRONG_BUY,B,EMA+HMA** | MACD+OBV** | RSI67 | BB+Sup* | Vol+OBV* | W+M**,74,67.0,19.7,80.0,UP,100,1.6,ABOVE,CONTINUATION,NONE,BULLISH,8.5,1765,1900,1857,1945,1987,2028,1.7,2.9,1.71,30303,57272670,1000000,RANGING,Bull,Bull
BRPT,Energi & Tambang,2190,7.4,BUY,C,Price>EMA21 | ADX34X | MACD+OBV** | RSI59* | BB+Sup* | W+M**,64,59.4,33.5,73.3,UP,100,18.2,ABOVE,CONTINUATION,NONE,BULLISH,92.1,1280,2440,1966,2563,2842,3122,10.2,17.0,1.67,4464,9776160,1000000,RANGING,Bull,Bull
ANTM,Pantauan,4020,7.2,BUY,C,EMA* | MACD+OBV** | RSI56* | BB+Sup* | W+M** | Ichimoku*,63,55.8,16.6,80.3,UP,79,12.5,ABOVE,CONTINUATION,NONE,BULLISH,23.5,3430,4100,3813,4365,4623,4881,5.1,8.6,1.69,4830,19416600,1000000,RANGING,Bull,Bull
ANTM,Pantauan,4020,7.2,BUY,C,EMA* | MACD+OBV** | RSI56* | BB+Sup* | W+M** | Ichimoku*,63,55.8,16.6,80.3,UP,79,12.5,ABOVE,CONTINUATION,NONE,BULLISH,23.5,3430,4100,3813,4365,4623,4881,5.1,8.6,1.69,4830,19416600,1000000,RANGING,Bull,Bull
VKTR,Teknologi & Telco,980,7.2,BUY,C,EMA* | MACD+OBV** | RSI59* | BB+Sup* | W+M** | Ichimoku*,63,59.3,23.0,67.6,UP,100,5.5,ABOVE,CONTINUATION,NONE,BULLISH,53.6,695,1045,892,1127,1237,1347,9.0,15.0,1.67,11363,11135740,1000000,RANGING,Bull,Bull
EXCL,Teknologi & Telco,3140,6.2,BUY,C,Price>EMA21 | MACD+OBV** | RSI53* | BB+Sup* | W+M** | Ichimoku*,56,53.0,12.3,67.4,UP,100,6.9,ABOVE,CONTINUATION,NONE,BULLISH,18.7,2830,3280,2968,3427,3641,3856,5.5,9.1,1.65,5813,18252820,1000000,RANGING,Bull,Bull
ADRO,Energi & Tambang,2510,6.9,BUY,C,EMA+HMA** | RSI54* | Stoch68UP | BB+Sup* | W+M** | Entry*,56,54.1,20.4,68.2,DN,74,2.6,ABOVE,CONTINUATION,NONE,BEARISH,9.0,2410,2620,2414,2669,2789,2909,3.8,6.3,1.66,10416,26144160,1000000,RANGING,Bull,Bull
PMUI,Pantauan,108,6.9,BUY,C,Price>EMA21 | ADX38X | MACD+OBV** | RSI56* | BB+Sup* | Ichimoku*,56,55.9,38.1,65.5,UP,100,0.4,ABOVE,CONTINUATION,NONE,BULLISH,28.6,90,109,99,123,134,145,8.3,13.9,1.67,111111,11999988,1000000,TRENDING,Bear,Bear
PTBA,Energi & Tambang,2960,6.2,BUY,C,EMA+HMA** | RSI54* | Stoch71UP | W+M** | Entry* | VWAP+,51,54.3,16.8,71.4,DN,100,4.5,ABOVE,CONTINUATION,NONE,BEARISH,13.1,2860,3180,2859,3128,3253,3379,3.4,5.7,1.68,9900,29304000,1000000,RANGING,Bull,Bull
LEAD,Infrastruktur & Konstruksi,146,5.0,PANTAU,D,MACD+OBV** | RSI50* | BB+Sup* | W+M**,43,49.6,19.9,46.7,UP,100,0.7,BELOW,CONTINUATION,NONE,BEARISH,36.9,120,168,130,173,192,212,11.0,18.5,1.68,62500,9125000,1000000,TRENDING,Bull,Bull
PGAS,Energi & Tambang,1940,5.7,PANTAU,D,Price>EMA21 | MACD+OBV** | RSI51* | BB+Sup* | Ichimoku* | VWAP+,43,51.1,19.9,86.4,UP,76,6.5,ABOVE,CONTINUATION,NONE,BULLISH,11.3,1755,1945,1864,2067,2161,2256,3.9,6.5,1.67,13157,25524580,1000000,TRENDING,Bear,Bull
WIFI,Teknologi & Telco,2400,5.7,PANTAU,D,Price>EMA21 | MACD+OBV** | RSI52* | BB+Sup* | Vol UP | Ichimoku*,43,52.3,20.2,66.7,UP,67,6.3,ABOVE,CONTINUATION,NONE,BULLISH,24.3,2130,2530,2234,2677,2885,3092,6.9,11.5,1.67,6024,14457600,1000000,RANGING,Bear,Bear
JSMR,Infrastruktur & Konstruksi,3250,5.7,PANTAU,D,Price>EMA21 | MACD+OBV** | RSI51* | BB+Sup* | Ichimoku* | VWAP+,43,50.7,23.6,78.1,UP,71,6.0,ABOVE,CONTINUATION,NONE,BULLISH,12.0,3000,3290,3155,3409,3528,3647,2.9,4.9,1.69,10526,34209500,1000000,TRENDING,Bear,Bear
GOTO,Teknologi & Telco,54,6.2,BUY,C,Price>EMA21 | ADX26 | MACD+OBV** | RSI50* | BB+Sup* | Vol UP,41,50.3,25.7,50.0,UP,88,0.1,ABOVE,CONTINUATION,NONE,BEARISH,10.4,51,56,51,58,61,65,5.6,7.4,1.32,333333,17999982,1000000,TRENDING,Bear,Bear
BBNI,Perbankan,3870,5.2,PANTAU,D,Price>EMA21 | MACD+OBV** | RSI54* | BB+Sup* | Ichimoku* | VWAP+,39,54.4,24.0,94.7,UP,71,5.9,ABOVE,CONTINUATION,NONE,BULLISH,11.0,3510,4000,3754,4064,4209,4354,3.0,5.0,1.67,8620,33359400,1000000,RANGING,Bear,Bear
AREA,Pantauan,336,5.2,PANTAU,D,ADX35X | MACD+OBV** | RSI48* | BB+Sup*,39,47.6,35.0,60.0,UP,100,1.1,BELOW,CONTINUATION,NONE,BEARISH,21.4,296,346,309,381,414,448,8.0,13.4,1.68,37037,12444432,1000000,TRENDING,Bear,Bear
MPPA,Consumer & Retail,53,4.8,PANTAU,D,Price>EMA21 | MACD+OBV** | RSI54* | BB+Sup* | Ichimoku*,37,54.2,15.3,58.3,UP,100,0.1,BELOW,CONTINUATION,NONE,BULLISH,27.8,46,57,50,58,61,65,5.7,9.4,1.65,333333,17666649,1000000,RANGING,Bear,Bear
BBRI,Perbankan,3160,5.6,PANTAU,D,ADX28 | MACD+OBV** | RSI43* | Vol+OBV* | Entry* | KC-LO,37,42.5,27.8,49.2,UP,69,5.6,BELOW,CONTINUATION,NONE,BEARISH,7.9,3033,3277,3068,3314,3429,3545,2.9,4.9,1.69,10869,34346040,1000000,TRENDING,Bear,Bear
BTPS,Perbankan,1080,5.4,PANTAU,D,MACD+OBV** | RSI48* | BB+Sup* | Vol+OBV* | Entry* | VWAP+,36,48.0,18.1,62.5,UP,75,0.9,ABOVE,CONTINUATION,NONE,BEARISH,7.1,1030,1095,1047,1135,1177,1218,3.1,5.1,1.65,30303,32727240,1000000,RANGING,Bear,Bear
SIDO,Consumer & Retail,500,4.6,PANTAU,D,MACD+OBV** | RSI47* | Vol UP | Entry* | Ichimoku* | KC-LO,35,47.3,17.5,50.0,UP,69,0.1,BELOW,CONTINUATION,NONE,BULLISH,2.2,495,505,489,518,531,545,2.2,3.6,1.64,90909,45454500,1000000,RANGING,Bear,Bear
INTP,Pantauan,5375,4.9,PANTAU,D,MACD+OBV** | RSI46* | BB+Sup* | Entry* | VWAP+,32,45.7,20.0,60.0,UP,87,11.4,ABOVE,CONTINUATION,NONE,BEARISH,10.9,5025,5575,5142,5763,6054,6345,4.3,7.2,1.67,4291,23064125,1000000,TRENDING,Bear,Bear
MYOR,Consumer & Retail,1820,4.0,TUNGGU,E,ADX27 | RSI42* | Stoch28UP | Reversal | KC-LO,29,42.0,27.4,28.0,DN,81,2.8,BELOW,REVERSAL,NONE,BEARISH,10.8,1760,1980,1743,1948,2043,2139,4.2,7.0,1.67,12987,23636340,1000000,TRENDING,Bear,Bear
