Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
BNGA,Perbankan,1865,9.9,STRONG_BUY,B+,EMA* | MACD+OBV** | RSI59* | BB+Sup* | Vol+OBV* | VWAP Trend,98,58.8,19.3,63.3,UP,100,90.1,ABOVE,CONTINUATION,NONE,BULLISH,8.7,1765,1900,1830,1924,1967,2011,1.9,3.2,1.68,28571,53284915,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",153466.38790158206,-0.014521608175435914,1459228.095238097,YES,575215,1072775975.0,0.8,71901884,25285369776,False,1.8,5193403,46161010,86090283650.0,25165659,1.25,0.8,RETAIL_DOMINANT,71901884,reported,25285369776,47157214183424,0.0,NEUTRAL,0,21.299999237060547,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,67.04,21.767
CFIN,Perbankan,342,10.7,STRONG_BUY,B+,EMA* | ADX27 | MACD+OBV** | RSI56* | BB+Sup* | Vol UP,98,55.7,26.6,43.8,UP,100,73.5,ABOVE,CONTINUATION,NONE,BULLISH,8.3,328,352,331,360,373,386,3.2,5.3,1.66,90909,31090878,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",293978.11646405223,0.33632237534742326,15376730.000000002,NO,15464083,5288716386.0,0.8,1933010409,3984520457,False,1.8,2101330,1240992683,424419497586.0,676553643,1.25,0.8,RETAIL_DOMINANT,1933010409,reported,3984520457,1362706038784,0.0,NEUTRAL,0,8.899999618530273,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,60.47,4.974
ANTM,Energi & Tambang,4050,8.9,STRONG_BUY,B,EMA* | MACD+OBV** | RSI57* | BB+Sup* | VWAP Trend | OBV+Trend,86,56.9,16.3,84.5,UP,79,78.2,ABOVE,CONTINUATION,NONE,BULLISH,22.5,3470,4100,3848,4387,4640,4893,5.0,8.3,1.66,4950,20047500,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING",24226484.027064368,0.1043746381701414,290803191.9539603,NO,67289986,272524443300.0,0.8,8411248269,24030764724,False,1.8,95052920,5400021389,21870086625450.0,2943936894,1.25,0.8,RETAIL_DOMINANT,8411248269,reported,24030764724,97324596461568,0.0,NEUTRAL,0,2.0999999046325684,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,55.78,52.079
ALII,Pantauan,995,10.9,STRONG_BUY,B+,EMA+HMA** | ADX29 | MACD+OBV** | RSI66 | BB+Sup* | Vol+OBV*,84,66.2,28.8,70.3,UP,100,185.0,ABOVE,CONTINUATION,NONE,BULLISH,49.2,670,1030,897,1159,1282,1405,9.8,16.5,1.68,10204,10152980,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",4950570.307054665,0.05826604141671999,5091862.292960662,YES,22357740,22245951300.0,0.7,3193962956,15825800000,False,0.8,3453326,2053718182,2043449591090.0,1117887034,1.09,0.7,RETAIL_DOMINANT,3193962956,reported,15825800000,15746671312896,0.0,NEUTRAL,0,41.099998474121094,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,71.02,36.527
MEDC,Energi & Tambang,1725,10.1,STRONG_BUY,B,EMA+HMA** | MACD+OBV** | RSI52* | BB+Sup* | VWAP Trend | MACD+Momentum,74,52.3,11.7,74.6,UP,100,46.8,ABOVE,CONTINUATION,NONE,BULLISH,23.0,1550,1930,1623,1895,2023,2150,5.9,9.9,1.68,9803,16910175,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS, VPT_FALLING",-15011050.045131102,0.07802168352751292,109551154.69583051,NO,42119948,72656910300.0,0.7,6017135484,24680621344,False,0.8,144407526,3869018117,6674056251825.0,2105997419,1.09,0.7,RETAIL_DOMINANT,6017135484,reported,24680621344,42574073036800,0.0,NEUTRAL,0,16.600000381469727,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,59.19,8.689
INDY,Energi & Tambang,3700,8.8,STRONG_BUY,B,EMA* | MACD+OBV** | RSI54* | BB+Sup* | Vol+OBV* | MACD+Momentum,73,53.5,14.7,45.3,UP,88,67.3,BELOW,CONTINUATION,NONE,BULLISH,22.4,3170,3880,3413,4178,4537,4896,7.8,12.9,1.65,3484,12890800,1000000,RANGING,Bull,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",8974686.04793486,-0.14153738322453935,-55663108.65640241,YES,7438548,27522627600.0,0.5,1487709777,5202692000,False,0.0,22970833,959572808,3550419389600.0,520698421,0.78,0.5,RETAIL_DOMINANT,1487709777,reported,5202692000,19249961631744,0.0,NEUTRAL,0,17.100000381469727,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,60.55,52.875
BUKA,Teknologi & Telco,159,9.1,STRONG_BUY,B,EMA* | ADX35X | MACD+OBV** | RSI55* | BB+Sup* | Vol UP,65,55.3,35.3,43.2,UP,100,36.5,BELOW,CONTINUATION,NONE,BEARISH,32.9,139,175,150,174,185,196,5.7,9.4,1.65,111111,17666649,1000000,TRENDING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",56700258.08584307,0.026434670655861133,220462777.36263704,NO,380327846,60472127514.0,0.7,54332549434,103148706067,False,0.8,153819073,34935829287,5554796856633.0,19016392301,1.09,0.7,RETAIL_DOMINANT,54332549434,reported,103148706067,16400644046848,0.0,NEUTRAL,0,5.0,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,61.75,7.604
JSMR,Infrastruktur & Konstruksi,3210,7.7,BUY,C,MACD+OBV** | RSI47* | BB+Sup* | Vol+OBV* | VWAP Trend | OBV+Trend,58,46.8,22.8,65.6,UP,71,29.6,ABOVE,CONTINUATION,NONE,BULLISH,12.0,3000,3290,3115,3369,3488,3607,3.0,5.0,1.67,10526,33788460,1000000,TRENDING,Bear,Bear,NEUTRAL,50,AD_RISING,151607.1261416562,0.03070212682752067,2104814.891774878,NO,7913619,25402716990.0,0.5,1582723973,7257871199,False,0.0,4054236,1020856964,3276950854440.0,553953390,0.78,0.5,RETAIL_DOMINANT,1582723973,reported,7257871199,23297766981632,0.0,NEUTRAL,0,53.70000076293945,🟡 SPEKULATIF,0.0,0.0,50.74,-6.082
ADRO,Energi & Tambang,2510,7.0,BUY,C,EMA+HMA** | RSI54* | Stoch68UP | BB+Sup* | OBV+Trend | W+M**,56,54.1,20.7,68.2,DN,73,5.3,ABOVE,CONTINUATION,NONE,BEARISH,8.6,2410,2620,2418,2664,2779,2894,3.7,6.1,1.65,10869,27281190,1000000,RANGING,Bull,Bull,DISTRIBUTION,60,"VWAP_ABOVE_DELTA_POS, VPT_FALLING, CMF_NEGATIVE",-2603170.8596010804,-0.24875911485406776,-330819887.4963924,NO,26167985,65681642350.0,0.22,11630215568,28800494200,False,-1.8,86044230,7533472135,18909015058850.0,4070575448,0.35,0.22,RETAIL_DOMINANT,11630215568,reported,28800494200,72289240481792,0.0,NEUTRAL,0,24.5,🔴 JEBAKAN / FALSE BREAKOUT,0.0,0.0,54.06,30.078
PGAS,Energi & Tambang,1930,6.7,BUY,C,Price>EMA21 | MACD+OBV** | RSI50* | BB+Sup* | VWAP Trend | OBV+Trend,51,49.9,18.8,81.8,UP,77,102.0,ABOVE,CONTINUATION,NONE,BULLISH,11.7,1755,1945,1855,2055,2149,2243,3.9,6.5,1.67,13333,25732690,1000000,TRENDING,Bear,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",2680424.9430538085,-0.1332205194018678,-30890443.937192798,NO,52142272,100634584960.0,0.5,10428454411,24241508195,False,0.0,53205933,6726353096,12981861475280.0,3649959043,0.78,0.5,RETAIL_DOMINANT,10428454411,reported,24241508195,46786110554112,0.0,NEUTRAL,0,83.0999984741211,🟢 SANGAT AMAN,0.0,0.0,51.07,-28.491
