Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
BDMN,Perbankan,3940,10.3,BUY,C+,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | EMA+HMA** | ADX39X,100,78.4,39.3,63.7,UP,100,159.5,ABOVE,CONTINUATION,NONE,BULLISH,89.5,2392,4290,3608,4382,4714,5046,8.4,11.2,1.33,3012,11867280,1000000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",24693831.532759532,0.0647500299400613,16687505.14207254,YES,5660841,22303713540.0,0.8,707605228,22400000,False,1.8,8443683,454282558,1789873278520.0,247661829,1.25,0.8,RETAIL_DOMINANT,707605228,reported,22400000,38507795972096,-0.06,NEGATIVE,5,1.0,🔴 JEBAKAN / FALSE BREAKOUT,-0.32,-0.8,82.12,330.687
DSNG,Agrikultur,1860,11.6,ULTRA_BUY,A,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | RS_Strong* | EMA+HMA**,100,68.4,28.6,100.0,UP,61,248.1,ABOVE,BREAKOUT,NONE,BULLISH,11.1,1635,1860,1767,2016,2132,2249,5.0,8.4,1.68,10752,19998720,1000000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",2517182.774236206,0.19018045215215565,19025851.40911339,NO,27613119,51360401340.0,0.9,3068124383,10599842400,False,3.2,10834416,1966667730,3658001977800.0,1073843534,1.4,0.9,RETAIL_DOMINANT,3068124383,reported,10599842400,19715707633664,0.0,NEUTRAL,2,100.0,🟢 SANGAT AMAN,-0.32,-0.8,57.99,57.433
ANJT,Agrikultur,1800,10.6,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Mahal- | RS_Strong* | EMA+HMA**,100,70.2,37.1,92.4,UP,100,99.1,ABOVE,CONTINUATION,NONE,BULLISH,29.2,1490,1810,1724,1926,2021,2115,4.2,7.0,1.67,13157,23682600,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",99131.74897594904,0.10895882670869836,558464.3544494715,NO,98746,177742800.0,0.8,12343364,3354175000,False,1.8,206036,7924441,14263993800.0,4320177,1.25,0.8,RETAIL_DOMINANT,12343364,reported,3354175000,6037515010048,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-0.32,-0.8,69.27,51.023
SIMP,Agrikultur,845,14.3,ULTRA_BUY,A,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH***,100,65.7,41.9,71.2,UP,100,58.6,ABOVE,REVERSAL,NONE,BULLISH,52.4,630,890,789,938,1009,1079,6.6,11.0,1.67,17857,15089165,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",63324028.97607936,0.10528510870553455,80396678.87778887,NO,18060886,15261448670.0,0.8,2257610788,15501310000,False,1.8,41697770,1449386127,1224731277315.0,790163775,1.25,0.8,RETAIL_DOMINANT,2257610788,reported,15501310000,13098606919680,0.46,POSITIVE,3,98.8,🟢 SANGAT AMAN,-0.32,-0.8,62.43,63.016
MIDI,Consumer & Retail,332,9.5,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | VCP_Setup** | EMA+HMA**,100,60.9,27.1,64.7,UP,100,138.2,ABOVE,CONTINUATION,NONE,BULLISH,12.8,302,340,318,355,371,388,4.2,6.9,1.64,71428,23714096,1000000,RANGING,Bull,Bear,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",3024411.9079744387,0.23044084983687926,43867389.682539664,NO,66918067,22216798244.0,0.9,7435340858,33435294800,False,3.2,15581530,4766053491,1582329759012.0,2602369300,1.4,0.9,RETAIL_DOMINANT,7435340858,reported,33435294800,11100518088704,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.32,-0.8,64.23,8.595
MAPI,Consumer & Retail,1330,9.6,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | EMA+HMA** | MACD+OBV**,100,58.9,20.3,79.2,UP,84,114.4,ABOVE,REVERSAL,NONE,BULLISH,12.5,1160,1330,1268,1434,1512,1590,4.7,7.8,1.66,16129,21451570,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",7703026.923466243,0.10712324099002622,56755232.434232414,NO,73206000,97363980000.0,0.9,8134000000,16600000000,False,3.2,24432930,5213894000,6934479020000.0,2846900000,1.4,0.9,RETAIL_DOMINANT,8134000000,reported,16600000000,22078000463872,0.0,NEUTRAL,0,100.0,🟢 SANGAT AMAN,-0.32,-0.8,53.94,24.287
AALI,Agrikultur,8350,11.2,ULTRA_BUY,A,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,100,82.0,36.6,97.6,UP,100,120.1,ABOVE,BREAKOUT,NONE,BULLISH,16.1,7245,8350,8110,8751,9051,9352,2.9,4.8,1.66,4166,34786100,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",415171.5151203618,0.18363031668214683,6274826.984126997,YES,3128003,26118825050.0,0.8,391000435,1924688333,False,1.8,1500990,251022280,2096036038000.0,136850152,1.25,0.8,RETAIL_DOMINANT,391000435,reported,1924688333,16071147913216,0.0,NEUTRAL,2,97.5,🟢 SANGAT AMAN,-0.32,-0.8,77.06,229.22
PRDA,Kesehatan,2570,11.7,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA+HMA**,100,57.4,36.5,92.3,UP,100,54.5,ABOVE,BREAKOUT,NONE,BULLISH,11.8,2470,2770,2488,2707,2809,2911,3.2,5.3,1.66,12195,31341150,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-163246.15650823776,0.6318485375514553,4739124.206349206,NO,1943198,4994018860.0,0.8,242899814,889775500,False,1.8,519850,155941682,400770122740.0,85014934,1.25,0.8,RETAIL_DOMINANT,242899814,reported,889775500,2286723006464,0.0,NEUTRAL,2,0.0,TIDAK DIUJI,-0.32,-0.8,49.49,8.866
TAPG,Agrikultur,2080,10.8,BUY,C+,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | RS_Strong* | EMA+HMA**,100,68.4,31.4,95.2,UP,100,171.5,ABOVE,REVERSAL,NONE,BULLISH,18.7,1725,2080,1980,2247,2372,2498,4.8,8.0,1.67,10000,20800000,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",3609463.0114320097,0.13725066159610333,43810261.56340392,NO,26907338,55967263040.0,0.8,3363417327,19852540000,False,1.8,28476660,2159313925,4491372964000.0,1177196064,1.25,0.8,RETAIL_DOMINANT,3363417327,reported,19852540000,41293283590144,0.13,POSITIVE,3,100.0,🟢 SANGAT AMAN,-0.32,-0.8,63.95,76.331
ANTM,Energi & Tambang,4120,8.2,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | EMA* | MACD+OBV**,100,59.5,16.6,90.0,UP,79,97.7,ABOVE,CONTINUATION,NONE,BULLISH,22.2,3470,4120,3921,4452,4700,4949,4.8,8.1,1.69,5025,20703000,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",25920089.952990294,0.1619453476252736,268096904.45396042,NO,75701234,311889084080.0,0.9,8411248269,24030764724,False,3.2,96329766,5391610141,22213433780920.0,2943936894,1.4,0.9,RETAIL_DOMINANT,8411248269,reported,24030764724,99006755635200,0.0,NEUTRAL,1,100.0,🟢 SANGAT AMAN,-0.32,-0.8,56.91,56.927
LSIP,Agrikultur,1775,12.7,ULTRA_BUY,A,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | EMA+HMA**,99,73.9,52.7,91.1,UP,100,106.7,ABOVE,BREAKOUT,NONE,BULLISH,30.6,1440,1785,1689,1918,2025,2132,4.8,8.1,1.69,11627,20637925,1000000,TRENDING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",7582106.243252046,0.19017884227963502,62187832.9119367,NO,19276355,34215530125.0,0.7,2753765050,6819963965,False,0.8,19009250,1770670928,3142940897200.0,963817767,1.09,0.7,RETAIL_DOMINANT,2753765050,reported,6819963965,12105435578368,0.0,NEUTRAL,1,99.4,🟢 SANGAT AMAN,-0.32,-0.8,67.53,104.961
