Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
BBTN,Perbankan,1395,11.3,ULTRA_BUY,A,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,100,57.8,17.9,56.9,UP,100,85.4,ABOVE,BREAKOUT,NONE,BULLISH,18.5,1255,1490,1330,1503,1585,1666,4.7,7.7,1.64,15384,21460680,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",9466840.520509146,0.14766944077949595,102686561.32981399,YES,45765902,63843433290.0,0.9,5085100244,14034444412,False,3.2,27595746,3259549257,4547071213515.0,1779785085,1.4,0.9,RETAIL_DOMINANT,5085100244,reported,14034444412,19578050576384,0.0,NEUTRAL,1,41.7,🔴 JEBAKAN / FALSE BREAKOUT,-0.48,-0.15,56.25,30.061
BNGA,Perbankan,1705,12.7,ULTRA_BUY,A,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,100,59.0,17.7,56.2,UP,100,55.6,ABOVE,CONTINUATION,NONE,BULLISH,8.1,1611,1734,1671,1761,1804,1846,2.0,3.3,1.65,29411,50145755,1000000,RANGING,Bull,Bull,ACCUMULATION,90,"VOL_SPIKE_STABLE, VPT_RISING",187646.04169993498,0.19255045292024053,27983459.004328836,YES,683067,1164629235.0,0.95,71901884,25285369776,False,4.5,5756460,46053158,78520634390.0,25165659,1.48,0.95,RETAIL_DOMINANT,71901884,reported,25285369776,43111556317184,0.0,NEUTRAL,1,41.4,🔴 JEBAKAN / FALSE BREAKOUT,-0.48,-0.15,57.32,18.423
BJBR,Perbankan,865,14.7,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,100,62.3,34.2,66.7,UP,96,92.9,ABOVE,BREAKOUT,NONE,BULLISH,8.4,810,880,847,896,919,942,2.1,3.6,1.71,55555,48055075,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",324258.31993480626,0.07588833324319297,4963820.0,YES,19664157,17009495805.0,0.8,2458019674,3106729025,False,1.8,3400303,1578048632,1365012066680.0,860306885,1.25,0.8,RETAIL_DOMINANT,2458019674,reported,3106729025,9101048283136,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.48,-0.15,58.42,11.11
KREN,Teknologi & Telco,19,7.9,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | PBV_Mahal- | RS_Strong* | Alpha_Leader***,100,65.6,34.8,100.0,UP,100,316.4,ABOVE,CONTINUATION,NONE,BULLISH,22.5,15,19,18,21,22,24,5.3,10.5,1.98,1000000,19000000,1000000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",5519668.905228758,0.41236128035483355,238470200.0,YES,117408114,2230754166.0,0.9,13045346016,18204247800,False,3.2,25337003,8362066797,158879269143.0,4565871105,1.4,0.9,RETAIL_DOMINANT,13045346016,reported,18204247800,345880723456,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.48,-0.15,60.19,-0.233
TOTL,Infrastruktur & Konstruksi,1215,11.9,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA**,100,64.2,29.3,79.1,UP,100,102.5,ABOVE,REVERSAL,NONE,BULLISH,23.9,1015,1255,1159,1308,1378,1448,4.6,7.7,1.67,17857,21696255,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",1153419.2031103536,0.23933144328796793,20706820.660646543,NO,9350936,11361387240.0,0.9,1038992900,3410000000,False,3.2,4003150,665994449,809183255535.0,363647515,1.4,0.9,RETAIL_DOMINANT,1038992900,reported,3410000000,4143149744128,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-0.48,-0.15,59.7,41.277
DSNG,Agrikultur,1770,13.2,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA** | ADX29,100,59.2,29.2,62.5,UP,61,153.9,ABOVE,CONTINUATION,NONE,BULLISH,11.6,1635,1860,1671,1935,2059,2183,5.6,9.3,1.66,10101,17878770,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",2068002.119751776,0.13077360124324414,15714826.253833884,NO,24544995,43444641150.0,0.8,3068124383,10599842400,False,1.8,11221263,1969735854,3486432461580.0,1073843534,1.25,0.8,RETAIL_DOMINANT,3068124383,reported,10599842400,18761721577472,0.0,NEUTRAL,3,58.2,🟡 SPEKULATIF,-0.48,-0.15,68.44,66.638
AALI,Agrikultur,8075,11.6,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA*,100,65.3,38.3,68.8,UP,100,103.0,ABOVE,CONTINUATION,NONE,BULLISH,15.6,7245,8350,7822,8497,8814,9130,3.1,5.2,1.68,3952,31912400,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",351931.3953598828,0.14320245102681725,4903255.555555569,YES,3128003,25258624225.0,0.8,391000435,1924688333,False,1.8,1531820,251022280,2027004911000.0,136850152,1.25,0.8,RETAIL_DOMINANT,391000435,reported,1924688333,15541858205696,0.0,NEUTRAL,3,58.0,🟡 SPEKULATIF,-0.48,-0.15,82.03,251.998
PRDA,Kesehatan,2570,11.6,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA+HMA**,100,57.4,36.5,85.7,UP,100,122.1,ABOVE,CONTINUATION,NONE,BULLISH,8.2,2470,2700,2491,2701,2799,2898,3.1,5.1,1.65,12658,32531060,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-51908.25037105354,0.6166259471301576,250957.53968253965,NO,1943198,4994018860.0,0.8,242899814,889775500,False,1.8,489493,155941682,400770122740.0,85014934,1.25,0.8,RETAIL_DOMINANT,242899814,reported,889775500,2286723006464,0.0,NEUTRAL,2,0.0,TIDAK DIUJI,-0.48,-0.15,57.42,13.458
TAPG,Agrikultur,1990,12.1,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA** | ADX33X,100,60.0,32.7,69.9,UP,100,113.0,ABOVE,CONTINUATION,NONE,BULLISH,19.3,1725,2080,1888,2159,2286,2414,5.1,8.5,1.67,9803,19507970,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",973901.7447096072,0.10906573052216043,9807238.48648084,NO,26907338,53545602620.0,0.8,3363417327,19852540000,False,1.8,27031646,2159313925,4297034710750.0,1177196064,1.25,0.8,RETAIL_DOMINANT,3363417327,reported,19852540000,39506556223488,0.1,POSITIVE,4,58.9,🟡 SPEKULATIF,-0.48,-0.15,68.39,84.475
ANJT,Agrikultur,1785,11.1,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Mahal- | RS_Strong* | Alpha_Leader*** | VCP_Setup**,100,67.0,36.7,87.3,UP,100,84.8,ABOVE,CONTINUATION,NONE,BULLISH,29.6,1490,1810,1712,1906,1997,2088,4.1,6.8,1.66,13698,24450930,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",96756.62077082084,0.0832423919608952,421953.24333836045,NO,98746,176261610.0,0.8,12343364,3354175000,False,1.8,198046,7924441,14145127185.0,4320177,1.25,0.8,RETAIL_DOMINANT,12343364,reported,3354175000,5987202236416,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-0.48,-0.15,70.16,54.142
PPRE,Infrastruktur & Konstruksi,159,9.8,BUY,C+,Macro_Defensive- | Sector_COLD- | RS_Strong* | Alpha_Leader*** | Price>EMA21 | MACD+OBV**,100,56.5,19.0,100.0,UP,100,93.9,ABOVE,BREAKOUT,NONE,BULLISH,62.9,95,159,138,194,220,246,13.2,22.0,1.67,47619,7571421,1000000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",752386090.5651077,0.14688065101024605,967279964.6090057,NO,20202177,3212146143.0,0.9,2244686347,10116212300,False,3.2,202321433,1438843949,228776187891.0,785640221,1.4,0.9,RETAIL_DOMINANT,2244686347,reported,10116212300,1608477835264,0.0,NEUTRAL,3,29.9,🔴 JEBAKAN / FALSE BREAKOUT,-0.48,-0.15,40.31,-9.108
