Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
BDMN,Perbankan,4250,11.2,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | EMA+HMA**,100,76.1,42.5,76.6,UP,100,129.8,ABOVE,BREAKOUT,NONE,BULLISH,94.9,2411,4290,3845,4790,5194,5599,9.5,12.7,1.34,2469,10493250,1000000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",31175856.68959752,0.07282233270701344,23122762.46701353,YES,5660841,24058574250.0,0.8,707605228,22400000,False,1.8,10429173,454282558,1930700871500.0,247661829,1.25,0.8,RETAIL_DOMINANT,707605228,reported,22400000,41537597603840,-0.06,NEGATIVE,5,37.4,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,69.24,373.219
BNGA,Perbankan,1695,8.3,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA*,100,55.5,17.0,47.1,UP,100,55.7,BELOW,CONTINUATION,NONE,BULLISH,7.3,1634,1734,1661,1751,1793,1835,2.0,3.3,1.65,29411,49851645,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VOL_SPIKE_STABLE, VPT_RISING",128314.5216354786,0.14786227279432912,22355939.004328836,YES,647116,1096861620.0,0.9,71901884,25285369776,False,3.2,5739556,46089109,78121039755.0,25165659,1.4,0.9,RETAIL_DOMINANT,71901884,reported,25285369776,42858702700544,0.0,NEUTRAL,1,20.3,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,59.0,17.994
BBTN,Perbankan,1410,9.2,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | EMA*,100,59.4,18.3,62.7,UP,100,92.4,ABOVE,CONTINUATION,NONE,BULLISH,18.5,1255,1490,1347,1516,1595,1674,4.5,7.5,1.67,15873,22380930,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",9628608.416666452,0.16400768267467505,133358381.32981396,YES,45765902,64529921820.0,0.9,5085100244,14034444412,False,3.2,27577106,3259549257,4595964452370.0,1779785085,1.4,0.9,RETAIL_DOMINANT,5085100244,reported,14034444412,19788566888448,0.0,NEUTRAL,1,7.5,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,57.83,30.517
ADMG,Konglomerat & Investasi,218,9.2,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | RS_Strong* | EMA+HMA** | MACD+OBV**,100,60.0,18.8,66.0,UP,100,170.3,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,12.9,194,218,203,242,260,279,6.9,11.0,1.59,66666,14533188,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",267486.1685932763,0.13624389256874778,1793577.1296296287,NO,5078179,1107043022.0,0.9,564242170,3889179559,False,3.2,620333,361679232,78846072576.0,197484759,1.4,0.9,RETAIL_DOMINANT,564242170,reported,3889179559,847841132544,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,44.66,0.108
AXIO,Teknologi & Telco,117,12.4,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Murah | Wyckoff_Absorb*** | Pullback_EMA21** | Price>EMA21 | ADX36X,100,52.8,35.6,50.0,UP,100,53.3,ABOVE,CONTINUATION,NONE,BULLISH,4.2,114,118,113,124,130,136,3.4,6.0,1.76,250000,29250000,1000000,RANGING,Bear,Bear,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",23173.25510624703,0.3436659745303622,4417846.666666668,NO,10693563,1251146871.0,0.9,1188173736,5840126500,False,3.2,645726,761619366,89109465822.0,415860807,1.4,0.9,RETAIL_DOMINANT,1188173736,reported,5840126500,683294785536,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,46.17,-0.111
SMMA,Konglomerat & Investasi,15000,9.8,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | News_BULLISH*** | EMA+HMA** | MACD+OBV** | RSI61*,100,61.4,23.9,100.0,UP,100,65.7,ABOVE,BREAKOUT,NONE,BULLISH,12.8,13750,15200,14443,15928,16624,17321,3.7,6.2,1.68,1795,26925000,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",1123.3527633561935,0.4331018053789585,48659.531590413884,YES,849319,12739785000.0,0.9,94368791,142474368,False,3.2,10236,60490396,907355940000.0,33029076,1.4,0.9,RETAIL_DOMINANT,94368791,reported,142474368,95514972389376,0.3,POSITIVE,1,0.0,TIDAK DIUJI,0.41,0.4,54.03,-125.634
BJBR,Perbankan,875,12.1,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Wyckoff_Absorb***,100,65.7,34.8,83.3,UP,98,141.0,ABOVE,CONTINUATION,NONE,BULLISH,8.4,815,880,857,906,929,952,2.1,3.5,1.67,55555,48610625,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",432001.27290704753,0.03523376099754423,2883820.0000000037,YES,19664157,17206137375.0,0.8,2458019674,3106729025,False,1.8,3690566,1578048632,1380792553000.0,860306885,1.25,0.8,RETAIL_DOMINANT,2458019674,reported,3106729025,9206262398976,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,62.3,11.46
TOTO,Industri Dasar & Logam,276,9.7,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA+HMA** | RSI56*,100,55.7,20.2,81.8,DN,92,23.8,ABOVE,CONTINUATION,NONE,BULLISH,2.6,270,276,269,288,298,307,2.5,4.3,1.72,142857,39428532,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VOL_SPIKE_STABLE, VPT_RISING",8841.022964318137,0.43622982606736926,4776978.333333336,YES,7209345,1989779220.0,0.9,801038400,10320000000,False,3.2,554436,513465615,141716509740.0,280363440,1.4,0.9,RETAIL_DOMINANT,801038400,reported,10320000000,2848320126976,-0.12,NEGATIVE,3,0.0,TIDAK DIUJI,0.41,0.4,55.68,0.335
TAPG,Agrikultur,2090,11.7,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | RS_Strong* | EMA+HMA** | ADX35X | MACD+OBV**,100,65.1,35.2,60.4,UP,100,179.3,ABOVE,BREAKOUT,NONE,BULLISH,21.4,1725,2090,1969,2292,2443,2594,5.8,9.7,1.67,8264,17271760,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",6611847.146719659,0.007721772689133267,18212267.37536972,NO,26907338,56236336420.0,0.8,3363417327,19852540000,False,1.8,27768450,2159313925,4512966103250.0,1177196064,1.25,0.8,RETAIL_DOMINANT,3363417327,reported,19852540000,41491808387072,0.1,POSITIVE,4,57.8,🟡 SPEKULATIF,0.41,0.4,59.97,82.717
DSNG,Agrikultur,1850,11.2,ULTRA_BUY,A,Macro_Defensive- | Overbought- | PER_Murah* | RS_Strong* | EMA+HMA** | ADX30X,100,63.9,30.0,90.2,UP,62,193.3,ABOVE,BREAKOUT,NONE,BULLISH,13.7,1635,1860,1747,2021,2150,2278,5.6,9.2,1.64,9708,17959800,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",3675553.605727773,0.13189482322878934,39627132.92050055,YES,24543649,45405750650.0,0.8,3067956173,10599842400,False,1.8,12040853,1969627864,3643811548400.0,1073784660,1.25,0.8,RETAIL_DOMINANT,3067956173,reported,10599842400,19609709182976,0.0,NEUTRAL,4,60.8,🟡 SPEKULATIF,0.41,0.4,59.23,65.896
ANJT,Agrikultur,1815,11.4,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Mahal- | RS_Strong* | Wyckoff_Absorb*** | EMA*,100,69.9,36.5,96.8,UP,100,84.4,ABOVE,CONTINUATION,NONE,BULLISH,30.4,1490,1815,1744,1933,2021,2109,3.9,6.5,1.67,14084,25562460,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",107174.06762417027,0.15116229545787957,804768.2433383605,NO,111090,201628350.0,0.9,12343364,3354175000,False,3.2,212386,7912097,14360456055.0,4320177,1.4,0.9,RETAIL_DOMINANT,12343364,reported,3354175000,6087827783680,0.0,NEUTRAL,3,0.0,TIDAK DIUJI,0.41,0.4,67.01,54.775
