Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol
ADES,Consumer & Retail,20050,9.0,HINDARI,LOW_LIQ,Overbought- | PER_Murah* | EMA+HMA** | Broksum_ACCUM***,31,70,15,0,15,78.9,52.6,67.3,UP,100,262.2,ABOVE,CONTINUATION,NONE,BULLISH,26.8,16200,20375,18744,21791,23097,24403,6.5,8.7,1.34,76,1523800,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",45395.23599557377,0.008874043317419377,70782.60168802699,YES,407925,8178896250.0,0.8,50990679,589896800,False,1.8,65993,32736017,656357140850.0,17846737,1.25,0.8,RETAIL_DOMINANT,50990679,reported,589896800,11709452386304,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,83.86,708.545,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
TAPG,Agrikultur,2100,9.2,TUNGGU,E,PER_Murah* | EMA+HMA** | Broksum_ACCUM***,31,55,25,0,30,65.6,37.6,62.3,UP,100,131.3,ABOVE,CONTINUATION,NONE,BULLISH,22.8,1725,2100,1979,2301,2453,2604,5.8,9.6,1.66,826,1734600,100000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",5793691.71987503,-0.0309122977302081,18212267.37536972,NO,26907338,56505409800.0,0.8,3363417327,19852540000,False,1.8,27698786,2159313925,4534559242500.0,1177196064,1.25,0.8,RETAIL_DOMINANT,3363417327,reported,19852540000,40896233996288,0.13,POSITIVE,3,65.0,ULTRA BUY,0.0,0.0,65.11,88.364,NEUTRAL,0.0,23.8% Modal (Beli ±11 Lot),BIG_ACCUMULATION,15000
HAIS,Transportasi & Logistik,192,6.7,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Murah | News_BULLISH*** | Broksum_ACCUM***,30,35,50,0,30,37.8,36.0,14.3,DN,100,-152.9,BELOW,NONE,NONE,BEARISH,5.5,192,202,186,202,210,217,3.1,5.2,1.68,16666,3199872,100000,RANGING,Bear,Bear,NEUTRAL,50,"AD_RISING, VPT_FALLING",-166028.80989167746,-0.0014075697317663678,934772.8571428508,NO,2624149,503836608.0,0.5,524829800,2626250000,False,0.0,2166843,338515221,64994922432.0,183690430,0.78,0.5,RETAIL_DOMINANT,524829800,reported,2626250000,506866237440,0.41,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,44.93,-1.742,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BDMN,Perbankan,4240,12.0,HINDARI,F,PER_Murah* | PBV_Murah | EMA+HMA** | Broksum_ACCUM***,29,40,50,0,15,75.8,44.3,76.1,UP,100,116.7,ABOVE,CONTINUATION,NONE,BULLISH,97.4,2411,4290,3834,4781,5187,5593,9.6,12.8,1.33,246,1043040,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",31142288.863878496,0.07153953015443337,23273229.133680202,YES,10299566,43670159840.0,0.8,1287445760,22400000,False,1.8,10933530,826540178,3504530354720.0,450606016,1.25,0.8,RETAIL_DOMINANT,1287445760,reported,22400000,41537597603840,-0.06,NEGATIVE,5,0.0,TIDAK DIUJI,0.0,0.0,76.1,417.219,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
PTPP,Infrastruktur & Konstruksi,260,8.7,HINDARI,LOW_LIQ,PBV_Murah | Broksum_ACCUM***,27,60,25,0,0,41.9,35.0,30.8,UP,100,73.1,BELOW,REVERSAL,NONE,BEARISH,14.3,246,278,243,288,309,330,6.5,10.8,1.66,5882,1529320,100000,TRENDING,Bear,Bear,NEUTRAL,50,"VOL_SPIKE_STABLE, VPT_RISING, CMF_NEGATIVE, AD_FALLING",2457945.911712341,-0.3851091098090684,-85732179.6825397,YES,15104913,3927277380.0,0.5,3020982620,6185341454,False,0.0,9798156,1948533791,506618785660.0,1057343916,0.78,0.5,RETAIL_DOMINANT,3020982620,reported,6185341454,1571076702208,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,32.0,-14.315,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BJBR,Perbankan,870,13.2,HINDARI,LOW_LIQ,PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA* | Broksum_ACCUM***,27,35,50,0,15,62.7,35.3,72.7,UP,100,120.8,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,8.3,815,880,851,901,925,948,2.2,3.6,1.64,5263,4578810,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",349067.6945098354,-0.006957946221213707,-3757463.333333332,YES,17206137,14969339190.0,0.7,2458019674,3106729025,False,0.8,3955330,1580506652,1375040787240.0,860306885,1.09,0.7,RETAIL_DOMINANT,2458019674,reported,3106729025,9206262398976,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,65.74,12.401,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
PRDA,Kesehatan,2540,13.7,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Murah | Wyckoff_Absorb*** | Pullback_EMA21** | EMA+HMA**,27,35,50,0,15,53.8,34.2,64.3,UP,100,50.7,ABOVE,CONTINUATION,NONE,BEARISH,4.5,2470,2570,2465,2665,2759,2853,3.0,4.9,1.63,1333,3385820,100000,RANGING,Bull,Bear,ACCUMULATION,80,"VOL_SPIKE_STABLE, VPT_RISING",3405.580453708404,0.034824800979948535,481671.4285714282,YES,2186098,5552688920.0,0.9,242899814,889775500,False,3.2,513760,155698782,395474906280.0,85014934,1.4,0.9,RETAIL_DOMINANT,242899814,reported,889775500,2313416343552,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,53.75,17.023,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
DMAS,Properti & Real Estate,141,10.5,HINDARI,LOW_LIQ,Overbought- | PER_Murah* | PBV_Murah | VOL_ANOMALY*** | EMA+HMA** | Broksum_ACCUM***,26,50,25,0,15,66.4,26.2,80.0,UP,100,129.8,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,7.4,132,141,137,147,152,156,2.8,4.3,1.54,25000,3525000,100000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",9303378.284534764,0.2196453658379731,203145516.66666663,YES,76462929,10781272989.0,0.9,8495881044,48198111100,False,3.2,37248730,5445859750,767866224750.0,2973558365,1.4,0.9,RETAIL_DOMINANT,8495881044,reported,48198111100,7036924329984,0.09,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,56.51,0.937,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BNGA,Perbankan,1670,7.5,HINDARI,F,PER_Murah* | PBV_Murah | News_BULLISH*** | Broksum_ACCUM***,26,15,50,0,45,47.9,16.0,24.2,DN,100,1.1,BELOW,CONTINUATION,BEARISH_DIV,BEARISH,7.0,1634,1734,1636,1726,1768,1810,2.0,3.4,1.7,2941,4911470,100000,RANGING,Bull,Bear,ACCUMULATION,80,"VOL_SPIKE_STABLE, VPT_RISING",18754.232329072198,0.12564973761303994,14626205.67099547,YES,647116,1080683720.0,0.9,71901884,25285369776,False,3.2,5802943,46089109,76968812030.0,25165659,1.4,0.9,RETAIL_DOMINANT,71901884,reported,25285369776,41847288233984,0.37,POSITIVE,2,0.0,TIDAK DIUJI,0.0,0.0,55.51,16.653,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
AALI,Agrikultur,8100,12.7,HINDARI,F,PER_Murah* | PBV_Murah | News_BULLISH*** | EMA* | Broksum_ACCUM***,25,20,50,0,30,65.4,39.3,69.9,UP,100,66.0,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,14.0,7413,8350,7844,8526,8845,9165,3.2,5.3,1.66,390,3159000,100000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",321471.42858475546,0.14677636158795362,4623947.222222231,NO,3128003,25336824300.0,0.8,391000435,1924688333,False,1.8,1646080,251022280,2033280468000.0,136850152,1.25,0.8,RETAIL_DOMINANT,391000435,reported,1924688333,15926796746752,0.15,POSITIVE,2,0.0,TIDAK DIUJI,0.0,0.0,63.99,234.791,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
