Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
PRDA,Kesehatan,2600,15.0,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,63,70,50,75,15,72.9,37.3,49.5,UP,100,342.2,ABOVE,CONTINUATION,NONE,BEARISH,11.7,2315,2600,2500,2767,2892,3017,3.8,6.4,1.68,1000,2600000,100000,RANGING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",196904.3418977256,-0.04776190955800022,-691250.0793650937,YES,1700298,4420774800.0,0.7,242899814,889775500,False,0.8,724180,156184582,406079913200.0,85014934,1.09,0.7,RETAIL_DOMINANT,242899814,reported,889775500,2313416343552,0.0,NEUTRAL,0,41.84,WEAK,-0.92,0.67,68.08,36.038,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,7286.9,0.01438,-0.0679
KAEF,Consumer & Retail,715,15.0,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,60,70,15,75,15,85.4,35.6,78.5,UP,100,398.5,ABOVE,CONTINUATION,NONE,BULLISH,45.4,456,715,654,796,857,919,8.5,11.3,1.33,1639,1171885,100000,HIGH_VOLATILITY,Bear,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",26849273.796014495,0.4817354855381898,81382656.33087704,YES,5099106,3645860790.0,0.9,566567368,5566589677,False,3.2,5741506,363169684,259666324060.0,198298578,1.4,0.9,RETAIL_DOMINANT,566567368,reported,5566589677,3980111380480,0.0,NEUTRAL,0,61.65,ULTRA BUY,-0.92,0.67,80.11,15.141,NEUTRAL,0.0,21.2% Modal (Beli ±29 Lot),BIG_ACCUMULATION,15000,8537.41,0.064205,-0.1008
BDMN,Perbankan,4700,14.5,BUY,C,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA+HMA**,58,70,50,50,15,75.4,50.8,94.2,UP,100,99.3,ABOVE,CONTINUATION,NONE,BULLISH,87.2,2480,4700,4270,5273,5703,6133,9.1,12.2,1.34,232,1090400,100000,HIGH_VOLATILITY,Bear,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",35628697.210710905,0.09447133510152701,39082359.38905653,NO,5660841,26605952700.0,0.8,707605228,22400000,False,1.8,14539530,454282558,2135128022600.0,247661829,1.25,0.8,RETAIL_DOMINANT,707605228,reported,22400000,45935698640896,0.0,NEUTRAL,0,69.2,ULTRA BUY,-0.92,0.67,73.24,467.319,NEUTRAL,0.0,25.0% Modal (Beli ±5 Lot),BIG_ACCUMULATION,15000,7535.74,0.084255,-0.0106
STTP,Consumer & Retail,11225,11.5,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader***,57,65,15,75,15,72.0,13.5,100.0,UP,100,227.0,ABOVE,BREAKOUT,NONE,BULLISH,14.8,9550,11225,10899,11769,12177,12585,2.9,4.8,1.66,306,3434850,100000,RANGING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",418.31015135015605,-0.0006772368735558699,331.818181818182,NO,1894430,21264976750.0,0.7,270632900,1310000000,False,0.8,616,174016955,1953340319875.0,94721515,1.09,0.7,RETAIL_DOMINANT,270632900,reported,1310000000,14704749576192,0.0,NEUTRAL,0,49.88,WEAK,-0.92,0.67,45.16,-76.51,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,7199.5,0.03877,-0.1047
ADES,Consumer & Retail,22800,12.5,BUY,C,Macro_Defensive- | Sector_HOT** | RS_Strong* | Alpha_Leader*** | EMA+HMA** | Broksum_ACCUM***,51,55,15,75,15,80.4,65.5,84.3,UP,100,127.3,ABOVE,CONTINUATION,NONE,BULLISH,50.2,16400,23300,20991,25212,27021,28829,7.9,10.6,1.34,55,1254000,100000,HIGH_VOLATILITY,Bear,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",50001.69449636586,0.2498983648329401,319409.4792180229,NO,458916,10463284800.0,0.9,50990679,589896800,False,3.2,69106,32685026,745218592800.0,17846737,1.4,0.9,RETAIL_DOMINANT,50990679,reported,589896800,13449648144384,0.0,NEUTRAL,0,65.99,ULTRA BUY,-0.92,0.67,86.52,1583.594,NEUTRAL,0.0,24.5% Modal (Beli ±1 Lot),BIG_ACCUMULATION,15000,8040.18,0.036787,0.0492
PEHA,Consumer & Retail,384,14.5,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,50,50,50,75,0,79.5,24.1,56.3,UP,100,486.6,ABOVE,CONTINUATION,NONE,BULLISH,29.9,294,384,357,429,464,498,7.0,11.7,1.67,3703,1421952,100000,RANGING,Bear,Bull,NEUTRAL,50,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",4341094.719354219,-0.15541180409466823,-7386163.593073593,YES,1376340,528514560.0,0.5,275268000,840000000,False,0.0,1745860,177547860,68178378240.0,96343800,0.78,0.5,RETAIL_DOMINANT,275268000,reported,840000000,322560000000,0.0,NEUTRAL,0,61.68,ULTRA BUY,-0.92,0.67,77.54,6.962,NEUTRAL,0.0,21.3% Modal (Beli ±55 Lot),BIG_ACCUMULATION,15000,7951.68,0.059102,-0.1597
MAPI,Consumer & Retail,1505,14.0,PANTAU,D,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader***,49,50,25,75,15,67.2,19.6,96.7,UP,97,386.1,ABOVE,CONTINUATION,NONE,BULLISH,20.8,1215,1505,1428,1634,1731,1827,5.1,8.6,1.69,1298,1953490,100000,RANGING,Bear,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",19727955.06878238,0.3421450725199311,221212935.57997558,YES,73206000,110175030000.0,0.9,8134000000,16600000000,False,3.2,31021020,5213894000,7846910470000.0,2846900000,1.4,0.9,RETAIL_DOMINANT,8134000000,reported,16600000000,24983000580096,0.0,NEUTRAL,0,58.95,BUY,-0.92,0.67,64.59,21.943,NEUTRAL,0.0,19.2% Modal (Beli ±12 Lot),BIG_ACCUMULATION,15000,6569.53,0.042563,0.1924
JPFA,Consumer & Retail,2530,12.5,PANTAU,D,Macro_Defensive- | Sector_HOT** | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA**,49,50,25,75,15,56.7,13.7,91.1,UP,82,30.5,ABOVE,REVERSAL,NONE,BULLISH,14.3,2220,2580,2407,2735,2889,3043,4.9,8.1,1.65,813,2056890,100000,TRENDING,Bear,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",427401.2761847377,0.1240703573056514,23242704.059875324,NO,40676379,102911238870.0,0.8,5084547494,8716079901,False,1.8,13310883,3264279493,8258627117290.0,1779591622,1.25,0.8,RETAIL_DOMINANT,5084547494,reported,8716079901,29418003103744,0.0,NEUTRAL,0,50.97,BUY,-0.92,0.67,49.99,16.807,NEUTRAL,0.0,13.2% Modal (Beli ±5 Lot),BIG_ACCUMULATION,15000,4665.89,0.031377,0.3065
IRRA,Kesehatan,482,11.5,PANTAU,D,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,47,50,25,75,0,72.8,25.8,43.9,UP,100,415.1,BELOW,CONTINUATION,NONE,BEARISH,30.3,386,510,441,537,578,619,8.5,11.4,1.34,2439,1175598,100000,HIGH_VOLATILITY,Bear,Bull,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",7975181.698621263,-0.18537449949944793,-29622312.151067324,YES,595760,287156320.0,0.27,216640000,1507817400,False,-0.8,5931166,140220240,67586155680.0,75824000,0.42,0.27,RETAIL_DOMINANT,216640000,reported,1507817400,726767960064,0.0,NEUTRAL,0,56.28,BUY,-0.92,0.67,86.78,9.407,NEUTRAL,0.0,17.2% Modal (Beli ±35 Lot),BIG_ACCUMULATION,15000,7276.22,0.058795,-0.1047
LSIP,Agrikultur,1530,8.5,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,45,50,50,50,0,46.5,41.0,15.2,DN,100,-126.1,BELOW,REVERSAL,NONE,BEARISH,19.7,1480,1785,1438,1684,1800,1915,6.0,10.1,1.68,1086,1661580,100000,TRENDING,Bear,Bull,DISTRIBUTION,40,"AD_FALLING, VWAP_BELOW_DELTA_NEG",1228860.501463037,0.030006492510914827,-6583716.620915029,NO,7572853,11586465090.0,0.27,2753765050,6819963965,False,-0.8,19295903,1782374430,2727032877900.0,963817767,0.42,0.27,RETAIL_DOMINANT,2753765050,reported,6819963965,10434544402432,0.0,NEUTRAL,0,53.74,BUY,-0.92,0.67,41.87,38.249,NEUTRAL,0.0,15.3% Modal (Beli ±10 Lot),BIG_ACCUMULATION,15000,4649.89,0.038417,0.1952
