Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
MKPI,Properti & Real Estate,21875,6.5,BUY,C,Macro_Aggressive+ | Sector_COLD- | RS_Strong* | Broksum_ACCUM***,73,50,15,50,15,40.0,72.6,80.2,UP,100,-23.2,ABOVE,CONTINUATION,NONE,BULLISH,4.0,21625,22600,21383,22695,23309,23924,2.2,3.7,1.68,203,4440625,100000,RANGING,Bear,Bear,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-1441.702244485677,0.2715060539714475,159306.6197445246,NO,1310707,28671715625.0,0.8,163838441,948194000,False,1.8,39576,105184280,2300906125000.0,57343454,1.25,0.8,RETAIL_DOMINANT,163838441,reported,948194000,20741743443968,0.0,NEUTRAL,0,12.42,WEAK,1.1,0.11,39.1,-262.726,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4004.28,0.007918,0.0074
BIRD,Transportasi & Logistik,1550,10.7,STRONG_BUY,B,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH***,72,50,50,50,0,41.8,38.9,47.6,DN,100,-111.4,BELOW,REVERSAL,NONE,BEARISH,8.2,1515,1645,1512,1613,1661,1708,2.5,4.1,1.64,2631,4078050,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-626619.868937121,-0.17593869829782216,-7032796.666666664,NO,1403884,2176020200.0,0.22,623948677,2502100000,False,-1.8,1638413,404162757,626452273350.0,218382036,0.35,0.22,RETAIL_DOMINANT,623948677,reported,2502100000,3878255067136,0.02,NEUTRAL,10,16.25,WEAK,1.1,0.11,31.36,-26.197,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4184.12,0.017701,0.3075
BIRD,Transportasi & Logistik,1550,10.7,STRONG_BUY,B,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH***,72,50,50,50,0,41.8,38.9,47.6,DN,100,-111.4,BELOW,REVERSAL,NONE,BEARISH,8.2,1515,1645,1512,1613,1661,1708,2.5,4.1,1.64,2631,4078050,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-626619.868937121,-0.17593869829782216,-7032796.666666664,NO,1403884,2176020200.0,0.22,623948677,2502100000,False,-1.8,1638413,404162757,626452273350.0,218382036,0.35,0.22,RETAIL_DOMINANT,623948677,reported,2502100000,3878255067136,0.02,NEUTRAL,10,16.25,WEAK,1.1,0.11,31.36,-26.197,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4184.12,0.017701,0.3075
CTRA,Properti & Real Estate,655,6.0,BUY,C,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,70,15,50,50,30,37.6,18.7,7.1,DN,86,-152.5,BELOW,NONE,NONE,BEARISH,10.1,655,720,628,699,732,766,4.1,6.7,1.63,3703,2425465,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-1119396.8339894656,-0.29473051635956876,-51573490.0,NO,15116183,9901099865.0,0.17,8637819346,18535695255,False,-3.2,10728266,5599466392,3667650486760.0,3023236771,0.27,0.17,RETAIL_DOMINANT,8637819346,reported,18535695255,12140879544320,0.33,POSITIVE,10,34.0,WEAK,1.1,0.11,38.77,-14.282,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3242.49,0.020867,0.2141
RALS,Consumer & Retail,396,8.5,STRONG_BUY,B,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,70,30,50,50,0,44.4,13.0,24.8,DN,100,-74.7,BELOW,CONTINUATION,NONE,BEARISH,5.3,391,408,386,412,424,437,2.5,4.0,1.6,10000,3960000,100000,RANGING,Bear,Bull,DISTRIBUTION,80,"VOL_SPIKE_STABLE, VOL_SPIKE_DOWN, VPT_FALLING",-247693.2103632402,-0.16104595817233855,-19968169.523809314,YES,2880860,1140820560.0,0.17,1646206141,6134777300,False,-3.2,6794653,1067153132,422592640272.0,576172149,0.27,0.17,RETAIL_DOMINANT,1646206141,reported,6134777300,2429371809792,0.0,NEUTRAL,0,61.27,ULTRA BUY,1.1,0.11,47.97,1.006,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,4442.39,0.010226,0.2761
ASII,Konglomerat & Investasi,5400,6.0,BUY,C,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,68,30,50,50,0,37.1,17.6,12.5,DN,76,-271.4,BELOW,NONE,NONE,BEARISH,10.3,5400,6050,5151,5815,6127,6439,4.6,7.7,1.67,401,2165400,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-4721128.881726744,-0.4276567958991265,-252050032.69841236,YES,31154825,168236055000.0,0.17,17802757384,40063816240,False,-3.2,33285316,11540637475,62319442365000.0,6230965084,0.27,0.17,RETAIL_DOMINANT,17802757384,reported,40063816240,216344599461888,0.0,NEUTRAL,0,8.9,WEAK,1.1,0.11,41.68,-26.356,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,2836.63,0.025432,0.2571
JSMR,Infrastruktur & Konstruksi,2950,7.0,BUY,C,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,67,45,50,50,0,36.6,28.0,26.1,UP,86,-68.2,BELOW,CONTINUATION,NONE,BEARISH,11.0,2920,3210,2863,3095,3204,3312,2.9,4.9,1.69,1149,3389550,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-603037.6805407384,-0.3257932067533714,-19847055.526315793,NO,3015028,8894332600.0,0.17,1722873465,7257871199,False,-3.2,2928513,1116852725,3294715538750.0,603005712,0.27,0.17,RETAIL_DOMINANT,1722873465,reported,7257871199,21410720251904,0.0,NEUTRAL,0,35.34,WEAK,1.1,0.11,40.31,-61.129,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3172.44,0.01611,0.1268
ADHI,Infrastruktur & Konstruksi,180,8.5,BUY,C,Macro_Aggressive+ | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH***,66,30,40,50,30,39.2,23.5,20.0,DN,100,-105.0,BELOW,REVERSAL,NONE,BEARISH,25.8,175,216,169,199,213,227,6.1,10.6,1.74,9090,1636200,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"CMF_NEGATIVE, AD_FALLING",27845577.989440307,-0.5363133971307017,-165858385.87301588,NO,6735818,1212447240.0,0.22,2993697330,8407608979,False,-1.8,13862306,1939167447,349050140460.0,1047794065,0.35,0.22,RETAIL_DOMINANT,2993697330,reported,8407608979,1513369632768,0.41,POSITIVE,6,16.95,WEAK,1.1,0.11,34.0,-3.849,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3917.51,0.046399,0.2036
BNGA,Perbankan,1645,8.0,BUY,C,Macro_Aggressive+ | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,62,15,50,50,0,43.1,17.6,12.5,DN,100,-169.1,BELOW,CONTINUATION,NONE,BEARISH,4.6,1645,1705,1612,1700,1741,1783,2.0,3.3,1.65,3030,4984350,100000,RANGING,Bear,Bull,NEUTRAL,50,"AD_RISING, VPT_FALLING",-191832.3723946066,0.008131481185392907,8964509.956709923,NO,359531,591428495.0,0.5,71906245,25285369776,False,0.0,6348700,46379529,76294325205.0,25167185,0.78,0.5,RETAIL_DOMINANT,71906245,reported,25285369776,41594434617344,0.0,NEUTRAL,0,64.93,ULTRA BUY,1.1,0.11,45.42,-3.351,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,4305.49,0.010767,0.0281
BJTM,Perbankan,515,9.0,BUY,C,Macro_Aggressive+ | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,62,15,50,50,0,42.1,18.0,13.9,DN,100,-116.2,BELOW,CONTINUATION,NONE,BEARISH,6.6,510,545,503,535,550,565,2.3,3.9,1.7,8333,4291495,100000,RANGING,Bear,Bull,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-1118385.8458629362,-0.06511665451037099,-9143566.666666314,YES,1348090,694266350.0,0.17,770337525,3081350100,True,-3.2,13858606,499371302,257176220530.0,269618133,0.27,0.17,RETAIL_DOMINANT,770337525,proxy,3081350100,7732981137408,0.0,NEUTRAL,0,23.28,WEAK,1.1,0.11,42.07,-1.472,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4206.66,0.010614,0.1747
