No,Kode Efek,Nama Emiten,Nama Pemegang Rekening Efek,Nama Pemegang Saham,Nama Rekening Efek,Alamat,Alamat (Lanjutan),Kebangsaan,Domisili,Status (Lokal/Asing),Kepemilikan Per 19-MAY-2026,Col12,Col13,Kepemilikan Per 20-MAY-2026,Col15,Col16,Perubahan
,,,,,,,,,,,Jumlah Saham,Saham Gabungan Per Investor,Persentase Kepemilikan Per Investor (%),Jumlah Saham,Saham Gabungan Per Investor,Persentase Kepemilikan Per Investor (%),
1,AADI,"ADARO ANDALAN INDONESIA Tbk, PT","CITIBANK, N. A",ADARO STRATEGIC INVESTMENTS,CINITVIEBSATNMKE HNOTNSG KONG S/A CPB SG A/C PT ADARO STRATEGIC,"G5EDUNG MENARA KARYA LANTAI 23 , JL. HR. RASUNA SAID BLOK X-",KUNIGAN TIMUR SETIABUDI,,INDONESIA,L,"68,352,699","3,200,142,830",41.10,"68,352,699","3,200,142,830",41.10,0
,AADI,,BUT DEUTSCHE BANK AG,,UBS AG SG BRANCH TR AC CL PT ADARO STRA IN -2023904118,"MENARA KARYA, JL. HR RASUNA SAID BLOK X-5,","KAVELING 1-2,SUITE 23, JAKARTA 12950, INDONESIA",,INDONESIA,L,"34,176,349",,,"34,176,349",,,0
,AADI,,PT BANK DBS INDONESIA,,D22B5S9 B12A)NK LTD SG S/A PT ADARO STRATEGIC INVESTMENTS (S-,GEDUNG MENARA KARYA LANTAI 23,JL. HR RASUNA SAID BLOK X-5 KAV 1-2,,INDONESIA,L,"148,097,516",,,"148,097,516",,,0
,AADI,,PT. TRIMEGAH SEKURITAS INDONESIA TBK,,ADARO STRATEGIC INVESTMENTS PT,GEDUNG MENARA KARYA LT. 23,JL. HR RASUNA SAID BLOK X-5 KAV 1-2,,INDONESIA,L,"875,658,214",,,"875,658,214",,,0
,AADI,,BUT DEUTSCHE BANK AG,,U20B2S3 A90G4 S1G20 BRANCH TRUST A/C PT ADARO STRATEGIC INV -,"MENARA KARYA, JL. HR RASUNA SAID BLOK X-5,","KAVELING 1-2,SUITE 23, JAKARTA 12950, INDONESIA",,INDONESIA,L,"599,491,228",,,"599,491,228",,,0
,AADI,,PT Bank HSBC Indonesia,,JPMCB NA RE-PT ADARO STRATEGIC INVESTMENTS,"M2 EKNUANRINAG KAANRYA LT 23 FLOOR,JL HR RASUNA SAID BLOK X-5 KAV 1-","TIMUR SETIABUDI, SOUTH JAKARTA, INDONESIA, 12950",,INDONESIA,L,"45,568,466",,,"45,568,466",,,0
,AADI,,BUT DEUTSCHE BANK AG,,U20B9S1 A14G5 S2P0O0RE S/A PT ADARO STRATEGIC INVESTMENTS -,"MENARA KARYA, JL. HR RASUNA SAID BLOK X-5,","KAVELING 1-2,SUITE 23, JAKARTA 12950, INDONESIA",,INDONESIA,L,"84,301,663",,,"84,301,663",,,0
,AADI,,"PT. BANK PERMATA, TBK",,PT ADARO STRATEGIC INVESTMENTS,GD MENARA KARYA LT. 23,JL. HR. RASUNA SAID BLOK X-5 KAV 1-2 SETIABUDI JAKARTA,,INDONESIA,L,"36,454,773",,,"36,454,773",,,0
,AADI,,PT Bank HSBC Indonesia,,HSTSRBACT SEIGNIGCA IPNOVERSET BMREANNTCSH PRIVATE BANKING DIVISION-PT ADARO,"M2 EKNUANRINAG KAANRYA LT 23 FLOOR,JL HR RASUNA SAID BLOK X-5 KAV 1-","TIMUR SETIABUDI, SOUTH JAKARTA, INDONESIA, 12950",,INDONESIA,L,"252,904,989",,,"252,904,989",,,0
