Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
PEHA,Consumer & Retail,372,14.0,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,60,65,50,75,15,77.5,20.0,100.0,UP,100,434.9,ABOVE,BREAKOUT,NONE,BULLISH,20.7,294,372,351,407,434,460,5.6,9.4,1.68,4761,1771092,100000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",3418875.36451551,0.7676495614584069,13384890.952380953,YES,2477412,921597264.0,0.9,275268000,840000000,False,3.2,821593,176446788,65638205136.0,96343800,1.4,0.9,RETAIL_DOMINANT,275268000,reported,840000000,312480006144,0.0,NEUTRAL,0,47.61,WEAK,-2.86,0.42,49.76,1.291,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,7753.92,0.058915,-0.1346
MAPI,Consumer & Retail,1455,13.5,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader***,58,65,25,75,15,64.6,17.4,100.0,UP,94,339.4,ABOVE,BREAKOUT,NONE,BULLISH,15.3,1215,1455,1377,1585,1682,1779,5.4,8.9,1.65,1282,1865310,100000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",14385979.123765182,0.2684728443724247,159401497.48473746,NO,73206000,106514730000.0,0.9,8134000000,16600000000,False,3.2,26845993,5213894000,7586215770000.0,2846900000,1.4,0.9,RETAIL_DOMINANT,8134000000,reported,16600000000,24153000247296,0.0,NEUTRAL,0,49.8,WEAK,-2.86,0.42,53.37,7.696,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,6077.72,0.042337,0.2334
IRRA,Kesehatan,510,14.0,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,57,65,15,75,15,86.8,21.0,100.0,UP,100,624.4,ABOVE,BREAKOUT,NONE,BULLISH,25.3,386,510,482,547,575,602,5.5,7.3,1.33,3571,1821210,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",13382135.424111461,0.7017201938629497,51456420.95238095,YES,1949760,994377600.0,0.9,216640000,1507817400,False,3.2,2678403,138866240,70821782400.0,75824000,1.4,0.9,RETAIL_DOMINANT,216640000,reported,1507817400,768986841088,0.0,NEUTRAL,0,55.21,BUY,-2.86,0.42,62.05,0.255,NEUTRAL,0.0,16.4% Modal (Beli ±32 Lot),BIG_ACCUMULATION,15000,8677.66,0.056685,-0.1179
KAEF,Consumer & Retail,635,15.0,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,57,65,15,75,15,80.1,32.4,100.0,UP,100,303.5,ABOVE,BREAKOUT,NONE,BULLISH,29.7,456,635,591,694,739,783,6.9,9.3,1.35,2272,1442720,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",15422061.197589297,0.7542271297416506,59471242.817363515,YES,5099106,3237932310.0,0.9,566567368,5566589677,False,3.2,2721213,363169684,230612749340.0,198298578,1.4,0.9,RETAIL_DOMINANT,566567368,reported,5566589677,3534784299008,0.0,NEUTRAL,0,54.38,BUY,-2.86,0.42,58.38,4.311,NEUTRAL,0.0,15.8% Modal (Beli ±24 Lot),BIG_ACCUMULATION,15000,8011.09,0.059829,-0.0766
DMAS,Properti & Real Estate,154,13.7,BUY,C,Macro_Defensive- | Overbought- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,56,70,25,50,15,82.4,39.7,80.0,UP,100,193.5,ABOVE,CONTINUATION,NONE,BULLISH,17.1,133,154,148,162,168,175,3.9,5.2,1.33,16666,2566564,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",39738936.873806775,0.13102025106777837,270864252.5974025,YES,67967048,10466925392.0,0.8,8495881044,48198111100,False,1.8,76817986,5454355631,839970767174.0,2973558365,1.25,0.8,RETAIL_DOMINANT,8495881044,reported,48198111100,7422509318144,0.0,NEUTRAL,0,43.71,WEAK,-2.86,0.42,79.78,3.639,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,8239.58,0.013869,0.1982
SAME,Kesehatan,348,13.5,BUY,C,Macro_Defensive- | Sector_HOT** | RS_Strong* | Alpha_Leader*** | Pullback_EMA21** | EMA+HMA**,55,65,0,75,15,56.3,21.6,66.7,UP,100,76.6,ABOVE,REVERSAL,NONE,BULLISH,6.3,328,350,334,372,389,407,4.0,6.9,1.73,7142,2485416,100000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",74580.96935268492,0.16735719311712408,1952396.6666666716,NO,23580085,8205869580.0,0.9,2620009512,17164632545,False,3.2,603506,1679426098,584440282104.0,917003329,1.4,0.9,RETAIL_DOMINANT,2620009512,reported,17164632545,5973291827200,0.0,NEUTRAL,0,42.56,WEAK,-2.86,0.42,48.38,-0.195,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,5625.43,0.015908,0.2979
BJBR,Perbankan,805,15.0,BUY,C,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,54,55,50,75,15,67.5,41.0,73.1,UP,100,141.4,ABOVE,CONTINUATION,NONE,BULLISH,8.4,755,809,789,832,852,872,2.0,3.4,1.7,6250,5031250,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",814412.7771966408,0.025645094105455596,4603086.666667026,YES,19664157,15829646385.0,0.8,2458019674,3106729025,False,1.8,6740743,1578048632,1270329148760.0,860306885,1.25,0.8,RETAIL_DOMINANT,2458019674,reported,3106729025,8469762015232,0.0,NEUTRAL,0,36.35,WEAK,-2.86,0.42,71.04,13.977,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,6753.38,0.010902,0.6068
BJTM,Perbankan,605,12.5,BUY,C,Macro_Defensive- | Sector_HOT** | Overbought- | PER_Murah* | PBV_Murah | RS_Strong*,51,50,50,75,15,66.1,16.1,100.0,UP,91,190.6,ABOVE,CONTINUATION,NONE,BULLISH,5.7,575,605,591,628,644,661,2.3,3.8,1.65,7142,4320910,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",903595.3443253953,0.18409714151638576,43551400.000000015,YES,6162700,3728433500.0,0.8,770337525,3081350100,True,1.8,9550856,494556692,299206798660.0,269618133,1.25,0.8,RETAIL_DOMINANT,770337525,proxy,3081350100,9084375924736,0.0,NEUTRAL,0,38.45,WEAK,-2.86,0.42,60.62,4.04,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,6070.01,0.01107,0.4985
CFIN,Perbankan,348,15.0,BUY,C,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,51,50,50,75,15,59.0,28.7,60.0,UP,100,133.3,ABOVE,CONTINUATION,NONE,BULLISH,5.6,336,352,337,366,380,393,3.2,5.2,1.62,9090,3163320,100000,RANGING,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS",280232.1879024829,0.21798041031910645,10940657.619047623,NO,13531072,4708813056.0,0.7,1933010409,3984520457,False,0.8,2154306,1242925694,432538141512.0,676553643,1.09,0.7,RETAIL_DOMINANT,1933010409,reported,3984520457,1386613178368,0.0,NEUTRAL,0,48.05,WEAK,-2.86,0.42,59.03,2.916,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,5903.03,0.013737,0.4508
BDMN,Perbankan,4510,15.0,BUY,C,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,51,50,50,75,15,73.2,49.6,87.1,UP,100,77.4,ABOVE,REVERSAL,NONE,BULLISH,89.4,2480,4510,4084,5078,5504,5930,9.4,12.6,1.34,234,1055340,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS",33562509.04397033,0.08454279895805844,31221004.55034687,NO,4953236,22339094360.0,0.7,707605228,22400000,False,0.8,12938253,454990163,2052005635130.0,247661829,1.09,0.7,RETAIL_DOMINANT,707605228,reported,22400000,44078720876544,0.0,NEUTRAL,0,60.82,ULTRA BUY,-2.86,0.42,66.98,450.355,NEUTRAL,0.0,20.6% Modal (Beli ±4 Lot),BIG_ACCUMULATION,15000,7323.51,0.084437,-0.0059
