Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
PRDA,Kesehatan,2550,12.0,STRONG_BUY,B+,PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA+HMA** | Broksum_ACCUM***,80,70,50,0,15,54.0,27.8,51.6,UP,100,57.8,ABOVE,CONTINUATION,NONE,MILD_BEARISH,17.9,2320,2850,2346,2820,3022,3225,8.0,10.6,1.32,490,1249500,100000,RANGING,Bull,Bull,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING",52312.443621692655,0.12138810563589496,1248573.3699633698,NO,1943198,4955154900.0,0.8,242899814,889775500,False,1.8,894590,155941682,397651289100.0,85014934,1.25,0.8,RETAIL_DOMINANT,242899814,reported,889775500,2268927623168,0.0,NEUTRAL,0,11.67,WEAK,0.0,0.0,56.64,-8.277,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5402.42,0.044585,0.0
BAJA,Industri Dasar & Logam,165,11.2,STRONG_BUY,B+,PBV_Mahal- | Broksum_ACCUM***,75,65,-20,0,15,62.2,29.0,73.1,UP,100,165.5,ABOVE,REVERSAL,NONE,NEUTRAL,39.8,117,167,152,190,210,229,7.9,15.2,1.92,7692,1269180,100000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",3462523.5412209947,0.05368677468208087,3663564.8094595075,YES,3199968,527994720.0,0.8,399996000,1800000000,False,1.8,2001746,256797432,42371576280.0,139998600,1.25,0.8,RETAIL_DOMINANT,399996000,reported,1800000000,297000009728,0.0,NEUTRAL,0,4.18,WEAK,0.0,0.0,59.31,-0.134,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6216.2,0.080808,0.0
HAIS,Transportasi & Logistik,192,10.5,STRONG_BUY,B,Overbought- | PER_Murah* | PBV_Murah | Broksum_ACCUM***,70,65,50,0,0,63.3,45.1,92.9,UP,100,141.1,ABOVE,BREAKOUT,NONE,BEARISH,24.4,145,192,178,210,224,237,7.3,9.4,1.29,7142,1371264,100000,HIGH_VOLATILITY,Bull,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",354202.4066989608,-0.04159291745895398,-865831.4441595543,NO,2624149,503836608.0,0.5,524829800,2626250000,False,0.0,1051076,338515221,64994922432.0,183690430,0.78,0.5,RETAIL_DOMINANT,524829800,reported,2626250000,504240013312,0.0,NEUTRAL,0,16.41,WEAK,0.0,0.0,50.44,-3.403,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6333.75,0.039242,0.0
CFIN,Perbankan,366,10.3,BUY,C,Sector_COLD- | PER_Murah* | PBV_Murah | EMA+HMA** | Broksum_ACCUM***,68,50,50,0,15,63.4,24.8,86.5,UP,100,173.4,ABOVE,CONTINUATION,NONE,MILD_BULLISH,19.1,302,370,343,395,417,439,6.3,7.9,1.25,4347,1591002,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",900910.6113912539,0.30698193011225583,23875306.666666664,YES,11441311,4187519826.0,0.8,1430163928,3984520457,False,1.8,3048876,918165243,336048478938.0,500557374,1.25,0.8,RETAIL_DOMINANT,1430163928,reported,3984520457,1458334466048,0.0,NEUTRAL,0,13.37,WEAK,0.0,0.0,65.93,2.239,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6341.55,0.030595,0.0
UNTR,Konglomerat & Investasi,22675,10.1,BUY,C,Sector_COLD- | PER_Murah* | PBV_Murah | Broksum_ACCUM***,67,65,50,0,0,38.7,44.4,65.8,UP,100,2.9,ABOVE,CONTINUATION,NONE,BEARISH,17.4,20875,24575,21694,24310,25536,26763,4.3,7.2,1.67,101,2290175,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-1346808.2146191187,-0.3023734192625554,-37513056.146844134,NO,3042946,68998800550.0,0.22,1352420849,3526906636,False,-1.8,5459150,876030606,19863993991050.0,473347297,0.35,0.22,RETAIL_DOMINANT,1352420849,reported,3526906636,79972609818624,0.0,NEUTRAL,0,18.77,WEAK,0.0,0.0,39.56,-1182.457,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3865.82,0.02256,0.0
ASII,Konglomerat & Investasi,4810,10.1,BUY,C,Sector_COLD- | PER_Murah* | PBV_Murah | Wyckoff_Absorb*** | Broksum_ACCUM***,67,65,50,0,0,40.7,26.4,54.1,UP,100,-34.8,BELOW,CONTINUATION,NONE,BEARISH,26.1,4360,5600,4576,5201,5494,5787,4.9,8.1,1.65,427,2053870,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-23572753.212623715,-0.14003813567027104,-235964739.43241942,NO,48958684,235491270040.0,0.27,17803158023,40063816240,False,-0.8,80358590,11523094031,55426082289110.0,6231105308,0.42,0.27,RETAIL_DOMINANT,17803158023,reported,40063816240,192706961735680,0.0,NEUTRAL,0,10.61,WEAK,0.0,0.0,39.14,-250.693,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4072.11,0.035266,0.0
SMBR,Industri Dasar & Logam,162,10.1,BUY,C,PER_Murah* | PBV_Murah | Pullback_EMA21** | Broksum_ACCUM***,67,80,50,0,0,47.7,40.1,76.7,UP,100,49.7,ABOVE,REVERSAL,NONE,BEARISH,27.1,132,168,151,181,195,210,6.8,11.7,1.72,9090,1472580,100000,TRENDING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",575775.0031437087,-0.00029803489269785913,-2986587.8354978412,NO,12162388,1970306856.0,0.5,2432477659,9932534336,False,0.0,3820036,1568948091,254169590742.0,851367180,0.78,0.5,RETAIL_DOMINANT,2432477659,reported,9932534336,1609070673920,0.0,NEUTRAL,0,19.82,WEAK,0.0,0.0,42.1,-10.713,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4771.1,0.043461,0.0
ADES,Consumer & Retail,26400,9.8,BUY,C,Overbought- | EMA+HMA** | Broksum_ACCUM***,65,55,0,0,15,82.5,37.4,91.8,UP,100,340.0,ABOVE,CONTINUATION,NONE,MILD_BULLISH,26.8,20600,26400,24608,28697,30420,32142,6.8,8.7,1.28,55,1452000,100000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",23846.178645562955,0.35113204757165817,338301.28898458,NO,407925,10769220000.0,0.8,50990679,589896800,False,1.8,47550,32736017,864230848800.0,17846737,1.25,0.8,RETAIL_DOMINANT,50990679,reported,589896800,15573276688384,0.0,NEUTRAL,0,91.09,ULTRA BUY,0.0,0.0,80.61,834.751,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot (module missing),BIG_ACCUMULATION,15000,8248.2,0.034727,0.0
DMAS,Properti & Real Estate,153,9.8,BUY,C,PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA+HMA** | Broksum_ACCUM***,65,55,50,0,0,52.6,34.5,60.9,DN,100,12.4,BELOW,CONTINUATION,NONE,MILD_BULLISH,10.3,142,159,144,165,173,182,5.9,7.8,1.32,11111,1699983,100000,RANGING,Bull,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",5267704.453732431,-0.0845266774725438,-188219670.952381,NO,42479405,6499348965.0,0.5,8495881044,48198111100,False,0.0,145370493,5479843274,838416020922.0,2973558365,0.78,0.5,RETAIL_DOMINANT,8495881044,reported,48198111100,7374310998016,0.0,NEUTRAL,0,30.95,WEAK,0.0,0.0,56.21,1.761,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5261.27,0.021578,0.0
LSIP,Agrikultur,1310,9.6,BUY,C,Sector_HOT** | PER_Murah* | PBV_Murah | Pullback_EMA21** | Broksum_ACCUM***,64,50,50,25,0,50.1,32.3,93.5,UP,100,84.0,ABOVE,CONTINUATION,NONE,MILD_BEARISH,18.8,1100,1315,1243,1422,1507,1591,5.1,8.5,1.67,1492,1954520,100000,TRENDING,Bear,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",387866.5843584016,-0.20608594651826978,-52232963.987776935,NO,13768825,18037160750.0,0.5,2753765050,6819963965,False,0.0,14140906,1776178458,2326793779980.0,963817767,0.78,0.5,RETAIL_DOMINANT,2753765050,reported,6819963965,8934152732672,0.0,NEUTRAL,0,17.09,WEAK,0.0,0.0,48.27,-52.615,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5014.51,0.028918,0.0
